Bereich;Schlüssel;Untergruppe;Name;Bezeichnung;Beschreibung;Deploy6 (<Alle>);Test6 (<Alle>);Identisch
administration;auftragsart_adminauftrag;Administration - Administrationsauftrag;AUFTRAGSART_ADMINAUFTRAG;Auftragsart des Administrationsauftrags.;Mögliche Auftragsarten des Administrationsauftrags.;AA Anonymisierungsauftrag,FB Fristberechnungsauftrag,BA Benachrichtigungsauftrag,DV Datenverwendungsauftrag;AA Anonymisierungsauftrag,FB Fristberechnungsauftrag,BA Benachrichtigungsauftrag,DV Datenverwendungsauftrag;true 2
administration;dsgvo;Administration - DSGVO;DSGVO;Auskunft aktiv;"Ist der Kenner gesetzt, ist die Zweckzuordnungsermittlung aktiv.
Ebenfalls kann über Adressänderungen informiert werden.";false;false;true 2
administration;dsgvo_mailbody;Administration - DSGVO;DSGVO_MAILBODY;Text der Mail zur Datenverwendung;"Nummer vom Standardtext in dem der Text für die Mail, die an Personen versendet wird, die über ihre Datenverwendung informiert werden, hinterlegt ist.
Der Platzhalter %1 im Text wird ersetzt durch die Briefanrede.";DSBody;DSBody;true 2
administration;dsgvo_mailsubject;Administration - DSGVO;DSGVO_MAILSUBJECT;Betreff der Mail zur Datenverwendung;Nummer vom Standardtext in dem die Betreffzeile für die Mail, die an Personen versendet wird, die über ihre Datenverwendung informiert werden, hinterlegt ist.;DSSubject;DSSubject;true 2
administration;multilngcreatemode;Administration - Allgemeines;MULTILNGCREATEMODE;Sprachspezifische Datensätze erzeugen ;Sprachspezifische Datensätze bei der Anlage neuer Datensätze in Tabellen mit multilingualen Feldern erzeugen.  ;1;1;true 2
administration;objektbearbeitungsseiten;Administration - DSGVO;OBJEKTBEARBEITUNGSSEITEN;Modul der Objekte;Hier ist hinterlegt, welchem Modul ein Objekt zugeordnet ist.;firma masterdata,adresse masterdata,personal masterdata,anlage masterdata,snk masterdata,snkpos masterdata,vertreter masterdata,persfirmenzug masterdata,ressource project,rechnung sales,rechnungpos sales,auftrag sales,auftragpos sales,wartung sales,angebot sales,warenausgang sales,warenausgangpos sales,vkrahmen sales,rahmenvertrag purchase,bestellvorschlag purchase,bestellung purchase,wareneingang purchase,liefrechnung purchase,aktivität vis,aufstueli wp,azebeleg time,pzebuchung time,inventur stock;firma masterdata,adresse masterdata,personal masterdata,anlage masterdata,snk masterdata,snkpos masterdata,vertreter masterdata,persfirmenzug masterdata,ressource project,rechnung sales,rechnungpos sales,auftrag sales,auftragpos sales,wartung sales,angebot sales,warenausgang sales,warenausgangpos sales,vkrahmen sales,rahmenvertrag purchase,bestellvorschlag purchase,bestellung purchase,wareneingang purchase,liefrechnung purchase,aktivität vis,aufstueli wp,azebeleg time,pzebuchung time,inventur stock;true 2
administration;plausi_aktion;Administration - Plausibilitätsprüfung;PLAUSI_AKTION;Aktion:;Aktionen, bei denen Plausibilitätsprüfungen definiert werden können.;Status auf 2;Status auf 2;true 2
administration;plausi_color;Administration - Plausibilitätsprüfung;PLAUSI_COLOR;Pflichtfelder einfärben:;"Pflichtfelder werden durch eine Hintergrundfarbe kenntlich gemacht.
Hinweis: Änderungen der Pflichtfelddefinition wirkt sich erst beim erneuten Laden der entsprechenden Seite aus.";false;false;true 2
administration;plausi_docheck;Administration - Plausibilitätsprüfung;PLAUSI_DOCHECK;Plausibilitätsprüfung einschalten:;;true;true;true 2
administration;plausi_hidefield;Administration - Plausibilitätsprüfung;PLAUSI_HIDEFIELD;Gefüllte Felder ausblenden:;"Bereits gefüllte Pflichtfelder werden nicht mehr angezeigt.
Hinweis: Falls alle Pflichtfelder gefüllt sind erscheint kein Dialog.";false;false;true 2
administration;plausi_inputtyp;Administration - Plausibilitätsprüfung;PLAUSI_INPUTTYP;Feldtypen:;Mögliche Feldtypen für die Plausibilitätsprüfungen.;1:Textfeld,7:Nummer,2:Checkbox,3:Datum,8:Zeitdauer,4:Auswahlfeld aus SysConf,5:verknüpftes Feld,6:Langtextfeld;1:Textfeld,7:Nummer,2:Checkbox,3:Datum,8:Zeitdauer,4:Auswahlfeld aus SysConf,5:verknüpftes Feld,6:Langtextfeld;true 2
administration;plausigroup;Administration - Plausibilitätsprüfung;PLAUSIGROUP;Prüfgruppe:;"Gruppenname für Gruppe von Benutzern mit gleichartiger Plausibilitätsprüfungen.
Diese Gruppen werden den Mitarbeitern im Personalstamm zugeordnet.";Vertrieb,Einkauf,anlegen,zur Freigabe;Vertrieb,Einkauf,anlegen,zur Freigabe;true 2
administration;status_adminauftrag;Administration - Administrationsauftrag;STATUS_ADMINAUFTRAG;Status des Administrationsauftrags.;Mögliche Status des Administrationsauftrags.;angelegt,freigegeben,bearbeitet,erledigt,storniert;angelegt,freigegeben,bearbeitet,erledigt,storniert;true 2
administration;status_anonymobjorel;Administration - Administrationsauftrag;STATUS_ANONYMOBJOREL;Status von Objekten ohne Stammdatenbezug.;Mögliche Status von Objekten ohne Stammdatenbezug.;angelegt,freigegeben,erledigt,storniert;angelegt,freigegeben,erledigt,storniert;true 2
administration;status_sqlstatement;Administration - Status;STATUS_SQLSTATEMENT;SQL Statement;Statusebenen von SQL Statements.;angelegt,freigegeben,beendet;angelegt,freigegeben,beendet;true 2
administration;status_zweckzuordnung;Administration - DSGVO;STATUS_ZWECKZUORDNUNG;Status für Zweckzuordnung;Mögliche Status für Zweckzuordnungen;aktiv,nicht aktiv;aktiv,nicht aktiv;true 2
administration;usecache;Administration - Allgemeines;USECACHE;Cache aktivieren;"Falls gesetzt, werden Stammdaten aus dem Bereich <i>Administration</i> beim ersten Zugriff in den Cache geschrieben. Anschließende Zugriffe auf diese Daten erfolgen dann nicht mehr über die Datenbank, sondern über den Cache.<br/><br/>
Verwendete Tabellen:
<ul>
<li>DBFILTER</li>
<li>DBFILTERUSE</li>
<li>LINKPLUS</li>
<li>LINKPLUSSORTIERUNG</li>
</ul>";true;true;true 2
apcustom;anp_erweitertekonteninfo;Custom Asseco - PZE;ANP_ERWEITERTEKONTENINFO;Erweiterte Konteninformation aktivieren;"Wenn aktiviert, werden zusätzlich zur konfigurierten Kontenliste noch Urlaubsanspruch und bereits verplanter Resturlaub ausgegeben<br/>
<i>(05.10.2017 CUSTOM:ASOL\FBL:#262980 - Erweiterung PZE-Terminal (Anzeige Browserterminal)</i>";true;true;true 2
apcustom;anp_exportcheck;Custom Asseco - Allgemeines;ANP_EXPORTCHECK;Exportcheck Prüfung deaktivieren;Wenn der Kenner gesezt ist, wird der Kenner Exportkontrolle nicht weitergegeben.;false;false;true 2
apcustom;anp_status_artikel;Custom Asseco - Status;ANP_STATUS_ARTIKEL;Artikelstatus;;In Entwicklung,Freigegeben,In Änderung,Qualitätsproblem;In Entwicklung,Freigegeben,In Änderung,Qualitätsproblem;true 2
apcustom;anp_tllager;Custom Asseco - Allgemeines;ANP_TLLAGER;Standard-TL-Lager ;Name des Hauptlagers für TL-Artikel. Dieses Lager wird bei der Neuanlage eines TL-Artikels vorbelegt.;ACS;ACS;true 2
apcustom;ausfuhrlisten;Custom Asseco - Allgemeines;AUSFUHRLISTEN;Ausfuhrlisten;Mögliche Ausfuhrlisten im Artikelstamm.;0006a,0006b,0013,0018;0006a,0006b,0013,0018,0017n;false 2
apcustom;tabseitenkonfig_aktiv;Custom Asseco - Tabseiten Konfigurator;TABSEITENKONFIG_AKTIV;Tabseitenkonfigurator aktivieren;;true;true;true 2
ausgabesteuerung;askseriecnt;Ausgabesteuerung - Allgemeines;ASKSERIECNT;Schwellwert für Sicherheitsabfrage einer Serie;Werden mehr Datensätze als die hier hinterlegte Anzahl selektiert, kommt es zu einer Sicherheitsabfrage vor der Ausgabe einer Serie.;0;0;true 2
ausgabesteuerung;authpwd;Ausgabesteuerung - Allgemeines;AUTHPWD;Passwort (Übertragung/Background-Job);"Passwort des Benutzers der für die Übertragung von Ausgabedefinitionen und durch den Background-Job ""AUTOASDEFINITION"" verwendet
wird.";;;true 2
ausgabesteuerung;authuser;Ausgabesteuerung - Allgemeines;AUTHUSER;Benutzer (Übertragung/Background-Job);"Benutzer der für die Übertragung von Ausgabedefinitionen und durch den Background-Job ""AUTOASDEFINITION"" verwendet
wird.";;;true 2
ausgabesteuerung;codepagename;Ausgabesteuerung - Allgemeines;CODEPAGENAME;Datei-Kodierung;Kodierung bei der Dateiausgabe.;windows-1252,UTF-8;windows-1252,UTF-8;true 2
ausgabesteuerung;exportpath;Ausgabesteuerung - Allgemeines;EXPORTPATH;Datei-Ausgabeverzeichnis;Verzeichnis zur Verwendung in der Ausgabesteuerung um Dateien zu exportieren. Der hier hinterlegte Pfad kann z.B. in der Ausgabedefinition per Platzhalter „{sysconf.ausgabesteuerung.exportpath}“ ausgelesen und verwendet werden;;;true 2
ausgabesteuerung;logexecutiontime;Ausgabesteuerung - Allgemeines;LOGEXECUTIONTIME;Ausführungszeiten Protokollieren;;false;false;true 2
ausgabesteuerung;mailbodystyle;Ausgabesteuerung - Allgemeines;MAILBODYSTYLE;E-Mail-Body-Style;Style-Eigenschaften für den E-Mail-Text im HTML-Format. Der Text wird in ein DIV-Element mit den angegebenen CSS-Eigenschaften eingeschlossen.;"font-family: Arial, Helvetica, sans-serif;font-size: 9pt;";"font-family: Arial, Helvetica, sans-serif;font-size: 9pt;";true 2
ausgabesteuerung;maildlgdeleteuploads;Ausgabesteuerung - Allgemeines;MAILDLGDELETEUPLOADS;Hochgeladene Dateien im Mail-Dialog löschen:;Manuell hochgeladene Dateien im Mail-Dialog werden nach dem Mail-Versand gelöscht.;false;true;false 2
ausgabesteuerung;mailseriefields;Ausgabesteuerung - Allgemeines;MAILSERIEFIELDS;Felddefinition für Serienmail;Diese Felder müssen in einer Serie übereinstimmen um die einzelnen Mails zusammenfassen zu können.;MAILPRIO,MAILFORMAT,MAILFROM,MAILTO,MAILCC,MAILBCC,MAILREPLYTO,MAILDNT,MAILSUBJECT,MAILBODY;MAILPRIO,MAILFORMAT,MAILFROM,MAILTO,MAILCC,MAILBCC,MAILREPLYTO,MAILDNT,MAILSUBJECT,MAILBODY;true 2
ausgabesteuerung;mailtmppath;Ausgabesteuerung - Allgemeines;MAILTMPPATH;Temporäres Mail-Verzeichnis;Verzeichnis zum Zwischenspeichern von Dokumenten beim Mail-Versand per Java-Mail.;;;true 2
ausgabesteuerung;maxretriesreport;Ausgabesteuerung - Allgemeines;MAXRETRIESREPORT;Max. Report-Aufrufversuche;Max. Anzahl an Wiederholungen um einen Report im Fehlerfall nochmal aufzurufen.;0;0;true 2
ausgabesteuerung;maxretriesupdreceipt;Ausgabesteuerung - Allgemeines;MAXRETRIESUPDRECEIPT;Max. Update-Versuche;Max. Anzahl an Wiederholungen um ein DB-Update nochmal auszuführen, falls es zum Fehler C_OBJECTCHANGED kommt.;0;0;true 2
ausgabesteuerung;placeholder;Ausgabesteuerung - Allgemeines;PLACEHOLDER;Platzhalter;Platzhalter die über die F6-Taste als PopUpMenu zur Auswahl stehen ($NOUN$ für Doppelpunkt im Platzhalter).;"{adresse.email}:E-Mail-Empfänger,{system.personal.adresse.email}:E-Mail-Absender,{script(""{adresse.mfp}"" == ""f"" ? ""geehrte Frau"" $NOUN$ ""geehrter Herr"")}:E-Mail-Anrede,{system.personal}:Aktueller Benutzer,{system.date}:Datum (YYYYMMDD),{system.datetime}:Timestamp (YYYYMMDD-HHMMSS),{system.guid}:GUID,{system.table}:Tabelle,{system.webname}:Web-Name,{system.appservername}:AppServer-Name,{system.company}:Company,{get(table;col;where)}:getScalarValue";"{adresse.email}:E-Mail-Empfänger,{system.personal.adresse.email}:E-Mail-Absender,{script(""{adresse.mfp}"" == ""f"" ? ""geehrte Frau"" $NOUN$ ""geehrter Herr"")}:E-Mail-Anrede,{system.personal}:Aktueller Benutzer,{system.date}:Datum (YYYYMMDD),{system.datetime}:Timestamp (YYYYMMDD-HHMMSS),{system.guid}:GUID,{system.table}:Tabelle,{system.webname}:Web-Name,{system.appservername}:AppServer-Name,{system.company}:Company,{get(table;col;where)}:getScalarValue";true 2
ausgabesteuerung;properties;Ausgabesteuerung - Allgemeines;PROPERTIES;Property-Liste;Liste von Key-Value-Paaren für die Indexierung des DMS-Uploads.;adresse={adresse},{system.table}={{system.table}},belegnr={{system.table}},belegtabelle={system.table},firma={firma},firma1={adresse.firma1},personal={personal},status={status},vertreter={vertreter},ID={id},projekt={projekt};adresse={adresse},{system.table}={{system.table}},belegnr={{system.table}},belegtabelle={system.table},firma={firma},firma1={adresse.firma1},personal={personal},status={status},vertreter={vertreter},ID={id},projekt={projekt};true 2
ausgabesteuerung;protokoll;Ausgabesteuerung - Allgemeines;PROTOKOLL;Protokoll;Art der Protokollierung der Ausgaben.;1;1;true 2
ausgabesteuerung;senddef;Ausgabesteuerung - Allgemeines;SENDDEF;Ausgabedefinition übertragen;"Liste von APplus-Installationen zu denen Ausgabedefinition übertragen werden können. 
Syntax: Servername/Webname:Bezeichnung (z.B. asseco/APplusProd6:Produktiv)";;;true 2
ausgabesteuerung;smtpdomain;Ausgabesteuerung - Mail.NET;SMTPDOMAIN;SMTP-Anmeldeinformation: Domäne;Domäne für Authentifizierung am SMTP-Server.;;ACSDOM;false 2
ausgabesteuerung;smtppassword;Ausgabesteuerung - Mail.NET;SMTPPASSWORD;SMTP-Anmeldeinformation: Passwort;Passwort für Authentifizierung am SMTP-Server.;;●●●●●●●●●●;false 2
ausgabesteuerung;smtpport;Ausgabesteuerung - Mail.NET;SMTPPORT;SMTP-Anmeldeinformation: Port;Port des SMTP-Servers.;25;25;true 2
ausgabesteuerung;smtpserver;Ausgabesteuerung - Mail.NET;SMTPSERVER;SMTP-Anmeldeinformation: Server;IP-Adresse oder Name des SMTP-Servers.;;mail.acsdom.local;false 2
ausgabesteuerung;smtpuser;Ausgabesteuerung - Mail.NET;SMTPUSER;SMTP-Anmeldeinformation: Benutzer;Benutzer für Authentifizierung am SMTP-Server.;;apsupport;false 2
ausgabesteuerung;smtpusestarttls;Ausgabesteuerung - Mail.NET;SMTPUSESTARTTLS;STARTTLS verwenden;Verbindung mit TLS verschlüsseln, falls der Server es anbietet.;false;false;true 2
